Client ID,Name,Age,Sex,Location ID,Joined Bank,Banking Contact,Nationality,Occupation,Investment Advisor,Fee Structure,Loyalty Classification,Banking Relationship,Estimated Income,Superannuation Savings,Amount of Credit Cards,Credit Card Balance,Bank Loans,Bank Deposits,Checking Accounts,Saving Accounts,Foreign Currency Account,Business Lending,Properties Owned,Risk Weighting
PKR14292,Arthur Burns,51,Male,30376,12/13/2005,Shawn Long,Asian,Accounting Assistant II,Lawrence Sanchez,Low,Platinum,Institutional,162807.39,70394.4,1,811.962,709300.71,1667444.1678,517118.7609,274495.081041,2337.768,270162.936,2,4
PKR67206,Lawrence Richardson,49,Female,38915,01/13/2012,Anthony Simpson,European,Junior Executive,Carl Anderson,Mid,Gold,Institutional,193729.9364,44815.46,2,2062.1524,66053.911,684295.048822,337704.050068,534461.09397604,47911.8948,992911.8584,2,3
PKR90177,Julia Roberts,81,Female,5659,11/08/2006,Victor Martinez,European,Software Engineer I,Fred Bryant,Mid,Platinum,Retail,131497.0944,15962.66,1,3127.864,57219.8988,725666.601186,233012.21139,506302.2478917,21798.3214,498564.8446,0,1
PKR60970,Philip Fisher,27,Male,28045,12/23/2001,Carl Nguyen,Asian,Accountant I,Nicholas Ward,High,Gold,Retail,319205.9145,49416,1,9.5526,0,309361.938102,360077.009922,135307.81161576,17710.5204,945483.9753,3,4
PKR24003,Jeffrey Taylor,56,Female,16845,02/28/1994,Anthony Simpson,European,Automation Specialist IV,Fred Bryant,Mid,Silver,Commercial,44088.512,32418.88,2,2795.52,1485747.328,396706.9184,153723.93088,55588.5569408,40504.256,717420.288,1,2
PKR87800,Mark Mccoy,33,Male,20816,01/24/2008,Patrick Graham,European,Biostatistician I,Jeremy Porter,High,Silver,Commercial,420683.6574,24472.55,1,1011.5625,820479.9,1818216.15625,683649.27475,886562.1977875,14157.725,1549847.5875,1,3
PKR75987,Timothy Cook,79,Female,30025,12/11/2006,Chris Armstrong,European,Nurse,Daniel Carroll,Low,Jade,Private Bank,32062.5228,19653.48,1,1612.8189,231528.627,140280.047721,170536.528602,109748.5079229,5492.4705,352732.7331,0,1
PKR70083,Larry Green,56,Male,12219,08/28/2016,Benjamin Kim,European,Human Resources Manager,Jeremy Porter,Mid,Jade,Private Bank,92487.6506,23690.51,1,2199.1834,560657.2518,208470.984384,49811.651136,134675.945664,5026.4547,407139.678,2,1
PKR31444,Edward Gordon,55,Male,33457,01/31/1994,Victor Martinez,European,Analyst Programmer,Ryan Taylor,Mid,Gold,Private Bank,130572.5124,49441.92,1,3225.2286,120782.4156,370436.765094,206472.951036,264528.28668024,17000.1876,854418.2526,0,2
PKR70450,Edward Evans,77,Female,31049,07/21/1992,Gregory Simmons,Australian,Database Administrator III,Kevin Kim,High,Gold,Institutional,54753.75,5311,1,1408.3375,80386.105,11363.74795,14158.1122,4470.9828,8745.7225,390608.62,1,1
PKR47520,Joseph Morrison,49,Female,3444,03/16/1998,George Lewis,Australian,Web Designer III,Jeremy Porter,Mid,Silver,Retail,180214.7886,9226.35,2,587.7144,791256.5892,1988033.001948,460993.159872,783688.3717824,36763.4484,1991318.0994,2,2
PKR69076,Kathy Wheeler,67,Female,3711,11/12/1996,Anthony Torres,European,Senior Editor,Victor Dean,High,Jade,Private Bank,52826.778,26160.46,2,2617.6122,385480.4256,295345.612935,277114.40226,86634.7131276,20544.7023,71268.3279,2,1
PKR53190,Amy Sims,66,Male,30998,01/02/2007,Joshua Bennett,European,Health Coach III,Jack Phillips,Low,Gold,Institutional,43622.88,19416.4,1,229.9,39047.14,192729.768,87604.44,223391.322,16286.6,237137.34,0,1
PKR58356,Sharon Warren,64,Male,3113,01/09/2018,Phillip Peters,African,Web Developer I,Ernest Knight,Mid,Silver,Retail,142841.2608,5405,1,3431.3884,508939.3632,527832.843472,450589.01272,171867.5234232,12316.3344,542464.522,0,2
PKR33691,Nicholas Gilbert,49,Male,30551,04/07/2009,Douglas Tucker,African,Systems Administrator III,Steve Sanchez,High,Silver,Private Bank,90437.656,12737.4,3,2830.3616,573366.172,202406.31856,101203.15928,80786.5219296,9723.8664,704110.0032,2,2
PKR20398,Melissa Miller,65,Male,16593,09/29/2008,Jason Duncan,Australian,Biostatistician III,Eugene Cunningham,High,Jade,Retail,32301.4668,5597.4,1,1751.4162,310657.961,74293.469818,64447.347312,14035.20008128,13795.2806,579453.8262,1,1
PKR54314,Kevin Gomez,32,Female,24168,01/01/2007,Jerry Green,European,Project Manager,Ernest Knight,Mid,Jade,Retail,293419.065,16443.25,1,4496.6275,2183384.715,1490773.713375,634781.06505,281227.247607,399.2025,1633759.2875,2,4
PKR74305,Ronald Larson,29,Male,25730,12/11/1999,Bobby Burton,Australian,Software Engineer III,Eugene Cunningham,High,Gold,Retail,55011.84,14206.2,1,3955.056,479936.376,1209655.584,474674.976,299657.71872,43547.802,698612.484,3,1
PKR37195,Christine Williams,31,Female,10528,04/16/2015,Joshua Bennett,European,Engineer III,Joe Carroll,High,Jade,Private Bank,77971.4628,7820.4,1,856.2084,478157.9216,61042.6224,29222.532,25358.66388,24984.354,487689.4464,0,1
PKR52609,Angela Roberts,22,Male,30762,07/09/2005,Nicholas Cunningham,European,Health Coach I,Daniel Carroll,High,Jade,Retail,84111.5052,18940.38,1,156.672,304608.176,130415.9488,61947.57568,84900.7826688,3455.216,356683.936,3,1
PKR26283,Joshua Hughes,58,Female,95,04/21/2006,Shawn Cook,European,Human Resources Assistant I,Juan Ramirez,High,Jade,Retail,98369.2934,3050.25,1,1441.8936,213195.0653,376150.246997,235795.677222,198629.78714558,23821.7763,312562.6112,3,2
PKR61913,Joshua Stephens,75,Male,10119,08/30/2012,Samuel Fowler,American,Software Test Engineer II,Daniel Carroll,High,Silver,Institutional,243490.7328,63872.76,1,5578.3392,1045569.0336,428657.451264,214328.725632,382765.88883456,32217.3936,1105110.3504,1,3
PKR35876,Evelyn Ramirez,18,Male,28105,09/27/2006,Frank Brown,American,Web Designer II,Eugene Cunningham,Mid,Jade,Commercial,72431.3396,34975.16,1,5303.5026,1210753.0798,205810.176792,127568.2914,29765.93466,25402.3528,1532523.4672,0,2
PKR19011,Lillian Burns,47,Female,33271,11/07/2003,Paul Larson,European,Sales Associate,Eugene Cunningham,Mid,Silver,Retail,456003.99,25171.2,2,7969.455,1248952.365,1050537.34575,674555.55885,237200.2743825,71113.77,1347657.84,2,4
PKR86703,Lillian Bell,41,Female,11172,02/16/2018,Stephen Payne,European,Biostatistician I,Daniel Carroll,High,Platinum,Retail,71422.0416,32993.52,1,4253.34,315175.42,38234.0154,33404.45556,7799.7391416,38428.488,813247.12,2,2
PKR23640,Phillip Perez,36,Female,18659,04/02/2018,Benjamin Kim,European,Accounting Assistant III,Victor Gutierrez,Low,Jade,Retail,39077.376,14707.68,2,1305.3768,1187138.9088,717787.702008,144670.389552,242934.96953232,11997.9288,1231614.2904,0,2
PKR93407,Karen Morrison,84,Female,18123,04/16/2010,Carl Nguyen,European,Dental Hygienist,Jack Phillips,High,Jade,Institutional,274099.1211,26051.76,2,2461.9392,563101.9506,0,0,0,4870.2402,520918.4862,3,2
PKR40136,John Cruz,26,Male,27140,09/25/1993,Victor Martinez,European,Developer IV,Victor Dean,Mid,Silver,Commercial,260826.748,53468.1,3,270.6,804359.976,529324.3008,295539.40128,106261.8533856,46060.056,296849.184,0,3
PKR76215,Joseph Thomas,74,Female,18521,01/07/1999,Jeremy Vasquez,American,Engineer IV,Sean Vasquez,Low,Platinum,Retail,334331.8125,18591.75,2,1029.3,164253.285,641260.15245,500709.98205,396615.0120975,46006.425,1094810.0175,1,3
PKR93216,Anthony Green,47,Male,40585,02/11/2012,Dennis Ruiz,Asian,Software Consultant,Eric Shaw,High,Jade,Retail,61398.259,20668.94,1,550.746,360003.868,277273.3992,305000.73912,109324.940256,2850.729,118884.969,2,1
PKR54572,Terry Hanson,82,Female,4749,04/11/2007,Phillip Peters,European,Software Test Engineer II,Daniel Carroll,High,Gold,Commercial,63246.3,18575.7,1,2914.182,448652.7,537205.51512,362849.33916,93209.8692024,17124.282,237993.696,0,1
PKR18649,Norma Perez,25,Male,7639,03/24/2019,George Lewis,European,Accountant II,Juan Ramirez,Mid,Platinum,Retail,158091.856,33824.44,3,1080.0296,207662.7592,177146.436896,177146.436896,70553.1498672,17133.5944,235133.6936,0,2
PKR51790,Ann Bradley,44,Male,6517,09/10/2016,Dennis Morris,European,Software Engineer II,Victor Gutierrez,Mid,Jade,Retail,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.5555,166059.79698,41209.82,506592.1,2,2
PKR17740,Daniel Morrison,38,Female,38743,06/18/2011,Frank Brown,Asian,Health Coach IV,Lawrence Sanchez,High,Gold,Commercial,116926.9416,18431.28,2,3828.195,1049088.915,463600.4625,200893.53375,58413.658275,7382.34,1299697.245,1,2
PKR49489,Keith Weaver,74,Male,4567,08/09/1995,Nicholas Cunningham,American,Associate Professor,Eric Shaw,High,Gold,Institutional,148224.72,27518,2,27.808,302048.916,73076.61792,28675.63488,52337.6587584,17272.56,456098.916,3,1
PKR50658,Patrick Richardson,35,Female,36151,08/24/1992,Roger Alexander,Asian,Computer Systems Analyst I,Carl Anderson,Mid,Jade,Retail,348248.5552,65026,1,3435.3572,1369215.6476,450525.370224,124963.241376,169226.53687392,6690.9704,2698297.8302,0,3
PKR14798,Beverly Griffin,74,Male,21413,09/24/2014,Shawn Wallace,American,Health Coach I,Joe Carroll,High,Silver,Commercial,19637.7777,9527.23,2,78.1448,24331.2676,150917.766736,83660.935908,40993.85859492,17286.2572,100054.7196,0,1
PKR60926,Virginia Greene,62,Male,7197,12/13/1995,Phillip Peters,American,Electrical Engineer,Eugene Cunningham,Mid,Jade,Institutional,150304.4928,7326.44,1,767.0608,523866.0856,363305.25088,199374.8328,224185.923104,33854.2248,607800.072,1,2
PKR57710,Antonio Ruiz,23,Male,27256,11/05/2003,Ernest Rivera,European,Statistician I,Gregory Boyd,Low,Jade,Retail,52109.1276,14277.05,1,209.684,205552.0472,329191.591104,116949.644208,88665.15618288,6681.616,1148304.5048,1,1
PKR71795,John Chapman,68,Male,21290,08/23/2007,Keith Griffin,European,Programmer Analyst III,Eugene Cunningham,Mid,Platinum,Retail,156091.7501,20609.04,3,382.872,707577.9,435466.0224,112495.38912,252896.8925088,35301.624,837133.632,2,1
PKR98220,Ruth Bishop,79,Male,3957,01/24/1994,Joe Price,American,Human Resources Assistant II,Juan Ramirez,High,Jade,Institutional,338383.13,57267.05,1,3505.859,1565513.7225,730384.02115,497152.14885,144603.760826,74778.172,884890.545,1,4
PKR91662,Alice Chavez,29,Female,39668,02/21/2019,Jerry Green,European,Assistant Professor,Sean Vasquez,High,Silver,Retail,198553.5916,20851.74,1,5581.3121,414518.5681,1144704.011451,696263.264697,570935.87705154,40208.7504,1522411.2267,3,4
PKR18901,Heather Palmer,52,Male,374,11/05/2002,Stephen Payne,European,Accounting Assistant III,Jeremy Porter,Mid,Silver,Commercial,190119.93,47110.05,1,3525.21,527884.11,99616.374,122860.1946,23741.90247,6920.94,136723.47,1,2
PKR49888,Louis Banks,68,Female,31302,01/26/2003,Paul Larson,American,Administrative Assistant I,Daniel Carroll,Mid,Jade,Retail,147956.7936,52216.52,1,2977.856,701005.5808,720211.853312,302231.759872,279467.92093696,23058.9632,1504310.0352,3,2
PKR76081,Bobby Gordon,41,Male,23190,01/02/2010,Nicholas Cunningham,Australian,Geologist IV,Gregory Boyd,Mid,Gold,Institutional,91071.75,33111.54,1,8062.6458,677123.9442,558283.302786,298923.343224,147703.2990048,7880.7564,1554534.9402,0,2
PKR93705,Randy Gardner,70,Male,18488,10/28/1998,Paul Holmes,American,Help Desk Operator,Eugene Cunningham,Mid,Gold,Retail,96545.3676,23191.74,1,3386.4468,1104753.0252,1268890.972272,630243.8604,252097.54416,39556.0506,1941061.8744,3,2
PKR52847,Eric Burke,32,Female,8566,06/19/2015,Samuel Fowler,Asian,Assistant Media Planner,Juan Ramirez,High,Jade,Institutional,63765,11354,1,2644.75,1012372.67,1568405.3218,541210.2871,478805.427465,62053.29,1665045.85,3,2
PKR24592,Martin Shaw,47,Male,10123,09/18/2007,Carl Nguyen,American,Technical Writer,Joe Carroll,Mid,Jade,Institutional,191715.4008,31923.72,1,1296.4536,402401.844,269460.700704,316098.129672,121257.3153168,19337.292,673780.4424,0,2
PKR31656,Phillip Hansen,83,Male,633,01/28/2012,Dennis Ruiz,Asian,Human Resources Assistant I,Ernest Knight,Mid,Silver,Private Bank,218312.274,21480.88,2,5886.562,1757312.986,1099352.8326,389770.54974,402363.1367316,30773.908,735797.502,1,5
PKR85060,Randy Wheeler,24,Male,8325,02/15/2006,Roger Alexander,European,Software Consultant,Lawrence Sanchez,High,Platinum,Commercial,157167.4689,31498.25,1,1909.3044,597244.5318,262988.535279,128881.798746,51169.55739402,42714.8045,836453.628,3,1
PKR89139,Matthew Brown,84,Female,23184,07/09/2014,Joshua Ryan,European,Administrative Assistant IV,Eric Shaw,Low,Gold,Institutional,101929.59,13019.3,1,1163.806,614181.302,445914.24479,137911.6221,373280.790484,12590.018,516128.949,3,1
PKR81423,Dennis Hanson,29,Male,24727,03/01/2009,Benjamin Kim,American,Recruiter,Eric Shaw,High,Jade,Institutional,40985.49,19729.5,3,646.125,358194.375,186144.375,114664.935,37333.11585,13412.625,222160.875,1,1
PKR85541,Alan Bennett,85,Male,9136,09/12/2018,Dennis Morris,African,Staff Scientist,Kevin Kim,High,Jade,Retail,109218.7008,6820.8,1,2767.296,587928.768,198995.4288,128873.23008,68530.2352896,13413.792,566786.304,2,1
PKR59219,Helen Jenkins,51,Male,10186,10/30/2014,Stephen Payne,European,Web Developer III,Jeremy Porter,High,Jade,Retail,174258.5152,34182.52,1,5185.7764,648432.6688,1125389.667508,830895.175076,198783.7823916,36318.3252,452950.7736,3,3
PKR43444,Katherine Myers,59,Female,33070,11/14/2018,Shawn Cook,European,Senior Developer,Victor Gutierrez,High,Jade,Institutional,74059.2348,14702.6,2,1361.5608,374815.9894,384271.047739,216865.838823,124336.41425852,8446.3977,962931.9901,2,1
PKR85299,Scott Hughes,84,Male,2874,07/22/1993,Shawn Cook,American,Health Coach IV,Daniel Carroll,High,Silver,Private Bank,158874.1406,38794.28,1,2366.2786,261364.7603,127418.481281,101648.451359,46915.77114133,40839.4567,334072.2245,0,2
PKR58136,Barbara Larson,69,Female,18759,01/10/1998,Nicholas Simmons,American,Office Assistant II,Peter Castillo,Mid,Jade,Retail,71958.9,13998.9,1,2756.832,124510.614,199185.61836,120782.76858,81093.9746238,15957.534,639874.92,1,1
PKR35725,Tammy Willis,17,Female,29867,11/02/2012,Jerry Green,European,Operator,Victor Rogers,High,Jade,Commercial,189074.1909,13258.42,1,4138.7784,291504.549,247346.4325,81405.155,162184.1165,11482.6184,358381.3591,3,3
PKR15648,Aaron Williams,78,Female,12708,01/06/2005,Chris Armstrong,Australian,Software Engineer III,Nicholas Morrison,High,Platinum,Retail,74408.6892,28689.62,2,494.76,24949.0976,188138.625024,218375.18976,61145.0531328,12141.5168,326434.3488,2,1
PKR48116,Lawrence Gibson,25,Female,2134,06/06/2019,Jonathan Hawkins,African,Dental Hygienist,Juan Ramirez,High,Jade,Retail,447928.0644,42888.81,1,3074.9334,841124.6151,611852.16708,222491.69712,457697.205504,33497.7258,347546.2452,3,5
PKR28531,Ronald Burns,61,Female,449,08/20/2001,Joshua Little,Australian,Web Designer I,Eric Shaw,Mid,Gold,Retail,309939.21,51303.6,2,10999.17,1198037.844,1457194.61376,691706.304,145258.32384,44952.264,3619311.372,3,4
PKR45135,Benjamin Boyd,61,Male,27123,02/22/2011,Shawn Cook,American,Editor,Sean Vasquez,Low,Silver,Retail,151227.3612,25749.75,1,397.404,455965.0704,212193.81792,276609.79836,79800.0322392,13699.1064,796820.2368,2,2
PKR72586,Craig Wagner,48,Male,31328,11/08/2016,Raymond Alexander,Asian,Analog Circuit Design manager,Joe Carroll,High,Jade,Commercial,401412.6675,48428.15,2,3172.6485,1511484.732,827446.846095,498247.56324,399309.8328252,51370.224,155806.1085,3,5
PKR80929,Mary Austin,35,Male,12694,10/20/1997,Joshua Ryan,European,VP Marketing,Nicholas Ward,High,Silver,Institutional,263452.2624,17416.8,1,3107.16,0,687595.1328,297957.89088,507980.0042208,16429.392,980875.656,2,2
PKR40714,Steven Wilson,21,Male,40567,05/10/2004,James Castillo,European,Senior Editor,Sean Vasquez,Low,Silver,Retail,404760.252,41342.34,2,4733.352,1022752.848,425498.08704,212749.04352,145323.9620352,64179.7104,477400.9344,0,3
PKR48405,Joe Lawrence,23,Female,5800,12/19/2004,Dennis Morris,European,Civil Engineer,Kevin Kim,High,Gold,Retail,122608.8909,31945.22,1,226.9089,248995.7649,167320.364424,182304.277656,54616.36373064,24666.3113,166961.6282,2,2
PKR52634,Willie Price,24,Female,25890,12/10/2008,Douglas Tucker,European,Media Manager I,Victor Dean,Mid,Jade,Retail,72688.9531,5604.02,1,2577.2646,44247.1308,47024.477784,16596.874512,24784.66593792,24564.966,362233.8036,1,1
PKR18163,Kevin Perez,50,Female,31222,05/18/1998,Frank Brown,European,Nurse,Nicholas Ward,Mid,Gold,Retail,96295.6143,23986.83,1,1323.8784,311472.6264,193153.031136,136197.65016,60174.5981616,21291.8472,396610.1802,2,2
PKR94008,Ruth Cook,20,Female,32556,12/14/1996,Roger Alexander,American,Accountant III,Nicholas Ward,Mid,Jade,Retail,127182.6864,10617.09,3,3142.3854,92065.3734,781027.693908,183771.222096,567065.4853248,24086.6472,613018.8372,2,1
PKR53034,Bruce Vasquez,49,Male,28065,05/19/1996,Bruce Porter,European,Senior Quality Engineer,Sean Vasquez,High,Gold,Institutional,86309.1684,19088.42,1,954.954,184129.946,136811.3604,39799.66848,71888.151192,11832.678,506381.304,2,1
PKR91806,Joe Lawrence,42,Female,18610,04/04/1997,Steve Diaz,American,Engineer IV,Lawrence Sanchez,Mid,Gold,Retail,39039.1587,35780.3,1,1286.8824,429795.6401,217684.776237,110466.901374,253034.18467668,13282.1604,83301.8437,2,2
